TICKER	FULL_NAME
STIM	Neuronetics
NBEV	New Age
NEHC	New Era Helium
NFE	New Fortress Energy
NJR	New Jersey Resources
NEWM	New Media Investment Group
NMFC	New Mountain Finance
NRZ	New Residential Investment
SNR	New Senior Investment Group
NYMT	New York Mortgage Trust
NAMS	NewAmsterdam Pharma
NHIC	NewHold Investment
NEGG	Newegg
NMAX	Newsmax
NEWT	NewtekOne
NEXI	NexImmune
NXDT	NexPoint
NREF	NexPoint Real Estate Finance
NXL	Nexalin Technology
NXRT	Nexpoint Residential Trust
NXTN	Next10
NXTC	NextCure
NEXT	NextDecade
NEP	NextEra Energy Partners
NXGN	NextGen Healthcare
NN	NextNav
NXPL	NextPlat
KIND	Nextdoor
NICK	Nicholas Financial
NIC	Nicolet National Bank
NIQ	Nielsen
NKLA	Nikola
NINE	Nine Energy Service
NB	NioCorp
NIXX	Nixxy
NKTX	Nkarta
NFTI	NoFire Technologies
NE	Noble Corporation
NODK	Nodak Insurance
NOGN	Nogin
NOMA	Nomadar
NDLS	Noodles & Company
NORNQ	Noranda Aluminum Holding
NSC	Norfolk Southern
NSYS	Nortech
NRT	North European Oil Royalty Trust
NECB	NorthEast Community Bank
NWE	NorthWestern Energy
NCL	Northann
NBN	Northeast Bank
NLIT	Northern Lights Acquisition
NOG	Northern Oil & Gas
NRAC	Northern Revival Acquisition
NSTB	Northern Star Investment Corp. II
NFBK	Northfield Bank
NRIM	Northrim Bank
NVAC	Northview Acquisition Corp
NWBI	Northwest Bank
NMN	Northwest Natural Holding
NWPX	Northwest Pipe Company
NLOK	NortonLifeLock
NCLH	Norwegian Cruise Line Holdings
NTBL	Notable Labs
NHLI	Nouveau Holdings
NVFY	Nova Lifestyle
NBY	NovaBay Pharma
NVGT	Novagant
NOVT	Novanta
NVAX	Novavax
NVOS	Novo Integrated Sciences
NUS	Nu Skin Enterprises
SMR	NuScale Power
NS	NuStar Energy
NUZE	NuZee
BURU	Nuburu
NUKK	Nukkleus
NRIX	Nurix Therapeutics
NTNX	Nutanix
NUTX	Nutex Health
NBVG	NutriPure Beverages
NTRB	Nutriband
NUTTQ	Nutroganics
NUVL	Nuvalent
NVCT	Nuvectis Pharma
NVTR	Nuvectra
JPI	Nuveen
NVVE	Nuvve
NUWE	Nuwellis
NXTD	Nxt-ID
NXU	Nxu
OFAL	OFA Group
OFG	OFG Bancorp
OFS	OFS Capital
OCCI	OFS Credit
OHAI	OHA Investment
ONTF	ON24
ONBI	ONE Bio
OGS	ONE Gas
OPAL	OPAL Fuels
KAR	OPENLANE
